phase	detail	resources	seconds	rate_per_s
load	MimicOrganization.ndjson	1	1.37	1
file	MimicOrganization.ndjson	1	1.50	1
load	MimicLocation.ndjson	31	0.12	261
file	MimicLocation.ndjson	31	0.14	225
load	MimicPatient.ndjson	100	0.34	293
file	MimicPatient.ndjson	100	0.45	220
load	MimicEncounterICU.ndjson	140	0.29	481
file	MimicEncounterICU.ndjson	140	0.34	415
load	MimicMedicationMix.ndjson	314	0.41	757
file	MimicMedicationMix.ndjson	314	0.61	511
load	MimicEncounterED.ndjson	222	0.33	679
file	MimicEncounterED.ndjson	222	0.38	590
load	MimicObservationMicroOrg.ndjson	338	0.62	547
file	MimicObservationMicroOrg.ndjson	338	0.67	504
load	MimicConditionED.ndjson	500	0.45	1124
load	MimicConditionED.ndjson	45	0.06	714
file	MimicConditionED.ndjson	545	0.55	986
load	MimicProcedure.ndjson	500	0.44	1147
load	MimicProcedure.ndjson	222	0.17	1306
file	MimicProcedure.ndjson	722	0.68	1063
load	MimicEncounter.ndjson	275	0.57	480
file	MimicEncounter.ndjson	275	0.66	414
load	MimicMedicationDispenseED.ndjson	500	0.47	1073
load	MimicMedicationDispenseED.ndjson	500	0.36	1381
load	MimicMedicationDispenseED.ndjson	82	0.11	745
file	MimicMedicationDispenseED.ndjson	1082	1.02	1061
load	MimicProcedureED.ndjson	500	0.41	1235
load	MimicProcedureED.ndjson	500	0.38	1326
load	MimicProcedureED.ndjson	260	0.22	1198
file	MimicProcedureED.ndjson	1260	1.07	1173
load	MimicSpecimen.ndjson	500	0.45	1119
load	MimicSpecimen.ndjson	500	0.85	585
load	MimicSpecimen.ndjson	336	0.17	1920
file	MimicSpecimen.ndjson	1336	1.89	706
load	MimicMedication.ndjson	500	0.19	2632
load	MimicMedication.ndjson	500	0.18	2841
load	MimicMedication.ndjson	480	0.19	2581
file	MimicMedication.ndjson	1480	0.59	2513
load	MimicProcedureICU.ndjson	500	0.29	1706
load	MimicProcedureICU.ndjson	500	0.25	2008
load	MimicProcedureICU.ndjson	468	0.29	1625
file	MimicProcedureICU.ndjson	1468	0.89	1653
load	MimicObservationMicroSusc.ndjson	500	0.54	931
load	MimicObservationMicroSusc.ndjson	500	0.42	1176
load	MimicObservationMicroSusc.ndjson	36	0.07	486
file	MimicObservationMicroSusc.ndjson	1036	1.10	939
load	MimicObservationMicroTest.ndjson	500	0.36	1404
load	MimicObservationMicroTest.ndjson	500	0.37	1340
load	MimicObservationMicroTest.ndjson	500	0.40	1266
load	MimicObservationMicroTest.ndjson	393	0.28	1384
file	MimicObservationMicroTest.ndjson	1893	1.49	1267
load	MimicMedicationStatementED.ndjson	500	0.32	1563
load	MimicMedicationStatementED.ndjson	500	0.22	2232
load	MimicMedicationStatementED.ndjson	500	0.25	1969
load	MimicMedicationStatementED.ndjson	500	0.24	2041
load	MimicMedicationStatementED.ndjson	411	0.24	1720
file	MimicMedicationStatementED.ndjson	2411	1.35	1779
load	MimicObservationED.ndjson	500	0.43	1155
load	MimicObservationED.ndjson	500	0.37	1359
load	MimicObservationED.ndjson	500	0.34	1453
load	MimicObservationED.ndjson	500	0.41	1235
load	MimicObservationED.ndjson	500	0.38	1316
load	MimicObservationED.ndjson	242	0.24	1021
file	MimicObservationED.ndjson	2742	2.29	1196
load	MimicCondition.ndjson	500	0.26	1923
load	MimicCondition.ndjson	500	0.19	2618
load	MimicCondition.ndjson	500	0.21	2392
load	MimicCondition.ndjson	500	0.20	2488
load	MimicCondition.ndjson	500	0.24	2119
load	MimicCondition.ndjson	500	0.21	2392
load	MimicCondition.ndjson	500	0.26	1938
load	MimicCondition.ndjson	500	0.24	2092
load	MimicCondition.ndjson	500	0.22	2262
load	MimicCondition.ndjson	6	0.05	115
file	MimicCondition.ndjson	4506	2.20	2045
load	MimicObservationVitalSignsED.ndjson	500	0.62	801
load	MimicObservationVitalSignsED.ndjson	500	0.55	909
load	MimicObservationVitalSignsED.ndjson	500	0.60	828
load	MimicObservationVitalSignsED.ndjson	500	0.52	971
